Key,Source,Context,Changes,English
mbWoodFrameAndTrimVariantHelper,blocks,Variant,New,Wood Frames and Trims
mbWoodFrameAndTrimVariantHelperDesc,blocks,Variant,New,Craft various wood door frames and window trims with this helper block.\nPut the crafted block on your hotbar and use the Reload action to open the selection window.\nClick or Shift-Click to select a variant to build with.\nHold the Reload button to get options like advanced rotations.\n(Courtusy of the MoreBlocks mod)
mbMetalFrameVariantHelper,blocks,Variant,New,Metal Door Frames
mbMetalFrameVariantHelperDesc,blocks,Variant,New,Craft various metal door frames with this helper block.\nPut the crafted block on your hotbar and use the Reload action to open the selection window.\nClick or Shift-Click to select a variant to build with.\nHold the Reload button to get options like advanced rotations.\n(Courtusy of the MoreBlocks mod)
mbHouseDoorVariantHelper,blocks,Variant,New,House Door
mbHouseDoorVariantHelperDesc,blocks,Variant,New,Craft various house doors with this helper block.\nPut the crafted block on your hotbar and use the Reload action to open the selection window.\nClick or Shift-Click to select a variant to build with.\nHold the Reload button to get options like advanced rotations.\n(Courtusy of the MoreBlocks mod)
mbCommercialDoorVariantHelper,blocks,Variant,New,Metal Door
mbCommercialDoorVariantHelperDesc,blocks,Variant,New,Craft various metal doors with this helper block.\nPut the crafted block on your hotbar and use the Reload action to open the selection window.\nClick or Shift-Click to select a variant to build with.\nHold the Reload button to get options like advanced rotations.\n(Courtusy of the MoreBlocks mod)
mbWoodBlockVariantHelper,blocks,Variant,New,Wood Block
mbWoodBlockVariantHelperDesc,blocks,Variant,New,Craft various wood blocks this helper block.\nPut the crafted block on your hotbar and use the Reload action to open the selection window.\nClick or Shift-Click to select a variant to build with.\nHold the Reload button to get options like advanced rotations.\n(Courtusy of the MoreBlocks mod)
