Key,Source,Context,Changes,English,German
mcSecureStorageBlockVariantHelper,blocks,Variant,,"Storage Boxes",Lagerkisten
mcSecureStorageBlockVariantHelperDesc,blocks,Variant,,"Craft various wood Storage Box with this helper block.\nPut the crafted block on your hotbar, hold the Reload action and select the Shape entry from the radial menu. Click or Shift-Click to select a variant to build with.","Fertige verschiedene Holzlagerkisten mit diesem Hilfsblock.\n\nLege den gefertigten Block in deinen Werkzeuggürtel, halte die Aktion "Nachladen" gedrückt und wähle den Eintrag "Form" aus dem Radialmenü aus. Klicke oder klicke bei gedrückter Shift-Taste, um eine Variante auszuwählen, mit der du bauen möchtest."

mcCubeContainer,blocks,Block,New,"Generic Storage Box",Allgemeine Lagerkiste
mcCubeContainerInsecure,blocks,Block,New,"Generic Storage Box",Allgemeine Lagerkiste
mcCubeContainerAmmo,blocks,Block,New,"Ammo Storage Box",Lagerkiste [00CED1](Munition)[-]
mcCubeContainerAmmoInsecure,blocks,Block,New,"Ammo Storage Box",Lagerkiste [00CED1](Munition)[-]
mcCubeContainerAmmo9mm,blocks,Block,New,"9mm Ammo Storage Box",Lagerkiste [00CED1](9mm Munition)[-]
mcCubeContainerAmmo9mmInsecure,blocks,Block,New,"9mm Ammo Storage Box",Lagerkiste [00CED1](9mm Munition)[-]
mcCubeContainerAmmoArrow,blocks,Block,New,"Arrows Storage Box",Lagerkiste [00CED1](Pfeile)[-]
mcCubeContainerAmmoArrowInsecure,blocks,Block,New,"Arrows Storage Box",Lagerkiste [00CED1](Pfeile)[-]
mcCubeContainerAmmoMagnum,blocks,Block,New,"Magnum Ammo Storage Box",Lagerkiste [00CED1](.44 Munition)[-]
mcCubeContainerAmmoMagnumInsecure,blocks,Block,New,"Magnum Ammo Storage Box",Lagerkiste [00CED1](.44 Munition)[-]
mcCubeContainerAmmoShell,blocks,Block,New,"Shotgun Shells Storage Box",Lagerkiste [00CED1](Schrotpatronen)[-]
mcCubeContainerAmmoShellInsecure,blocks,Block,New,"Shotgun Shells Storage Box",Lagerkiste [00CED1](Schrotpatronen)[-]
mcCubeContainerArmors,blocks,Block,New,"Armors Storage Box",Lagerkiste [00CED1](Rüstung)[-]
mcCubeContainerArmorsInsecure,blocks,Block,New,"Armors Storage Box",Lagerkiste [00CED1](Rüstung)[-]
mcCubeContainerAutoparts,blocks,Block,New,"Auto Parts Storage Box",Lagerkiste [00CED1](Autoteile)[-]
mcCubeContainerAutopartsInsecure,blocks,Block,New,"Auto Parts Storage Box",Lagerkiste [00CED1](Autoteile)[-]
mcCubeContainerBarter,blocks,Block,New,"Barter Storage Box",Lagerkiste [00CED1](Händler)[-]
mcCubeContainerBarterInsecure,blocks,Block,New,"Barter Storage Box",Lagerkiste [00CED1](Händler)[-]
mcCubeContainerBuilding,blocks,Block,New,"Building Storage Box",Lagerkiste [00CED1](Bauen)[-]
mcCubeContainerBuildingInsecure,blocks,Block,New,"Building Storage Box",Lagerkiste [00CED1](Bauen)[-]
mcCubeContainerCementMixer,blocks,Block,New,"Cement Mixer Storage Box",Lagerkiste [00CED1](Betonmischer)[-]
mcCubeContainerCementMixerInsecure,blocks,Block,New,"Cement Mixer Storage Box",Lagerkiste [00CED1](Betonmischer)[-]
mcCubeContainerChemistry,blocks,Block,New,"Chemical Storage Box",Lagerkiste [00CED1](Chemie)[-]
mcCubeContainerChemistryInsecure,blocks,Block,New,"Chemical Storage Box",Lagerkiste [00CED1](Chemie)[-]
mcCubeContainerCrafting,blocks,Block,New,"Crafting Storage Box",Lagerkiste [00CED1](Crafting)[-]
mcCubeContainerCraftingInsecure,blocks,Block,New,"Crafting Storage Box",Lagerkiste [00CED1](Crafting)[-]
mcCubeContainerElectricity,blocks,Block,New,"Electrical Storage Box",Lagerkiste [00CED1](Elektronik)[-]
mcCubeContainerElectricityInsecure,blocks,Block,New,"Electrical Storage Box",Lagerkiste [00CED1](Elektronik)[-]
mcCubeContainerExplosive,blocks,Block,New,"Explosive Storage Box",Lagerkiste [00CED1](Sprengstoffe)[-]
mcCubeContainerExplosiveInsecure,blocks,Block,New,"Explosive Storage Box",Lagerkiste [00CED1](Sprengstoffe)[-]
