Key,Source,Context,Changes,English
pjtResourceTruckParts,items,Item,,Service Truck Parts
pjtTruckAmbulance,vehicles,vehicle,,Ambulance
pjtTruckAmbulancePlaceable,vehicles,item,,Ambulance
pjtTruckMoPower,vehicles,vehicle,,Mo Power Truck
pjtTruckMoPowerPlaceable,vehicles,item,,Mo Power Truck
pjtTruckPaintJob,vehicles,vehicle,,PaintJob Truck
pjtTruckPaintJobPlaceable,vehicles,item,,PaintJob Truck
pjtTruckWorkingStiff,vehicles,vehicle,,Working Stiff Truck
pjtTruckWorkingStiffPlaceable,vehicles,item,,Working Stiff Truck
pjtVehicleTruckAccessories,vehicles,item,,Service Truck Accessories
pjtVehicleTruckAccessoriesSchematic,vehicles,item,,Service Truck Accessories Schematic
pjtVehicleTruckChassis,vehicles,item,,Service Truck Chassis
pjtVehicleTruckChassisSchematic,vehicles,item,,Service Truck Chassis Schematic
